ordernumber;productcode;quantityordered;priceeach;orderlinenumber;orderdate;shippeddate;status;customernumber;country
10115;S18_2238       ;46;140.8;4;2020/04/04 00:00:00.000;2020/04/07 00:00:00.000;Shipped        ;424;USA                                               
10115;S24_1444       ;47;56.6;2;2020/04/04 00:00:00.000;2020/04/07 00:00:00.000;Shipped        ;424;USA                                               
10115;S24_4048       ;44;106.4;1;2020/04/04 00:00:00.000;2020/04/07 00:00:00.000;Shipped        ;424;USA                                               
10115;S50_1392       ;27;100.7;3;2020/04/04 00:00:00.000;2020/04/07 00:00:00.000;Shipped        ;424;USA                                               
10124;S18_1749       ;21;153;6;2020/05/21 00:00:00.000;2020/05/25 00:00:00.000;Shipped        ;112;USA                                               
10124;S18_2248       ;42;58.1;5;2020/05/21 00:00:00.000;2020/05/25 00:00:00.000;Shipped        ;112;USA                                               
10124;S18_2325       ;42;111.9;3;2020/05/21 00:00:00.000;2020/05/25 00:00:00.000;Shipped        ;112;USA                                               
10124;S18_4409       ;36;75.5;7;2020/05/21 00:00:00.000;2020/05/25 00:00:00.000;Shipped        ;112;USA                                               
10124;S18_4933       ;23;66.3;8;2020/05/21 00:00:00.000;2020/05/25 00:00:00.000;Shipped        ;112;USA                                               
10124;S24_1046       ;22;62.5;12;2020/05/21 00:00:00.000;2020/05/25 00:00:00.000;Shipped        ;112;USA                                               
10124;S24_1937       ;45;30.5;2;2020/05/21 00:00:00.000;2020/05/25 00:00:00.000;Shipped        ;112;USA                                               
10124;S24_2022       ;22;36.3;1;2020/05/21 00:00:00.000;2020/05/25 00:00:00.000;Shipped        ;112;USA                                               
10124;S24_2766       ;32;74.5;10;2020/05/21 00:00:00.000;2020/05/25 00:00:00.000;Shipped        ;112;USA                                               
10124;S24_2887       ;25;94;9;2020/05/21 00:00:00.000;2020/05/25 00:00:00.000;Shipped        ;112;USA                                               
10124;S24_3191       ;49;76.2;11;2020/05/21 00:00:00.000;2020/05/25 00:00:00.000;Shipped        ;112;USA                                               
10124;S24_3432       ;43;101.7;13;2020/05/21 00:00:00.000;2020/05/25 00:00:00.000;Shipped        ;112;USA                                               
10124;S24_3969       ;46;36.1;4;2020/05/21 00:00:00.000;2020/05/25 00:00:00.000;Shipped        ;112;USA                                               
10127;S12_1108       ;46;193.2;2;2020/06/03 00:00:00.000;2020/06/06 00:00:00.000;Shipped        ;151;USA                                               
10127;S12_3148       ;46;140.5;3;2020/06/03 00:00:00.000;2020/06/06 00:00:00.000;Shipped        ;151;USA                                               
10127;S12_3891       ;42;169.6;1;2020/06/03 00:00:00.000;2020/06/06 00:00:00.000;Shipped        ;151;USA                                               
10127;S12_4473       ;24;100.7;11;2020/06/03 00:00:00.000;2020/06/06 00:00:00.000;Shipped        ;151;USA                                               
10127;S18_2238       ;45;140.8;10;2020/06/03 00:00:00.000;2020/06/06 00:00:00.000;Shipped        ;151;USA                                               
10127;S18_2319       ;45;114.1;14;2020/06/03 00:00:00.000;2020/06/06 00:00:00.000;Shipped        ;151;USA                                               
10127;S18_3232       ;22;149;15;2020/06/03 00:00:00.000;2020/06/06 00:00:00.000;Shipped        ;151;USA                                               
10127;S18_4027       ;25;126.4;5;2020/06/03 00:00:00.000;2020/06/06 00:00:00.000;Shipped        ;151;USA                                               
10127;S24_1444       ;20;50.9;8;2020/06/03 00:00:00.000;2020/06/06 00:00:00.000;Shipped        ;151;USA                                               
10127;S24_2840       ;39;34.3;12;2020/06/03 00:00:00.000;2020/06/06 00:00:00.000;Shipped        ;151;USA                                               
10127;S24_4048       ;20;107.6;7;2020/06/03 00:00:00.000;2020/06/06 00:00:00.000;Shipped        ;151;USA                                               
10127;S32_2509       ;45;46.5;13;2020/06/03 00:00:00.000;2020/06/06 00:00:00.000;Shipped        ;151;USA                                               
10127;S32_3207       ;29;60.9;6;2020/06/03 00:00:00.000;2020/06/06 00:00:00.000;Shipped        ;151;USA                                               
10127;S50_1392       ;46;111.1;9;2020/06/03 00:00:00.000;2020/06/06 00:00:00.000;Shipped        ;151;USA                                               
10127;S50_1514       ;46;55.6;4;2020/06/03 00:00:00.000;2020/06/06 00:00:00.000;Shipped        ;151;USA                                               
10130;S18_3029       ;40;68.8;2;2020/06/16 00:00:00.000;2020/06/21 00:00:00.000;Shipped        ;198;USA                                               
10130;S18_3856       ;33;99.5;1;2020/06/16 00:00:00.000;2020/06/21 00:00:00.000;Shipped        ;198;USA                                               
10131;S18_1662       ;21;141.9;4;2020/06/16 00:00:00.000;2020/06/21 00:00:00.000;Shipped        ;447;USA                                               
10131;S24_2841       ;35;61;5;2020/06/16 00:00:00.000;2020/06/21 00:00:00.000;Shipped        ;447;USA                                               
10131;S24_3420       ;29;52.6;6;2020/06/16 00:00:00.000;2020/06/21 00:00:00.000;Shipped        ;447;USA                                               
10131;S24_3949       ;50;54.6;3;2020/06/16 00:00:00.000;2020/06/21 00:00:00.000;Shipped        ;447;USA                                               
10131;S700_2047      ;22;76.9;8;2020/06/16 00:00:00.000;2020/06/21 00:00:00.000;Shipped        ;447;USA                                               
10131;S700_2466      ;40;86.8;1;2020/06/16 00:00:00.000;2020/06/21 00:00:00.000;Shipped        ;447;USA                                               
10131;S700_4002      ;26;63.7;2;2020/06/16 00:00:00.000;2020/06/21 00:00:00.000;Shipped        ;447;USA                                               
10131;S72_1253       ;21;40.2;7;2020/06/16 00:00:00.000;2020/06/21 00:00:00.000;Shipped        ;447;USA                                               
10135;S12_1099       ;42;173.2;7;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10135;S12_3380       ;48;110.4;5;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10135;S12_3990       ;24;72.6;8;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10135;S12_4675       ;29;103.6;4;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10135;S18_1889       ;48;67;3;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10135;S18_3278       ;45;65.9;10;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10135;S18_3482       ;42;139.6;9;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10135;S18_3782       ;45;49.7;13;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10135;S18_4721       ;31;133.9;12;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10135;S24_2360       ;29;67.2;16;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10135;S24_2972       ;20;34.4;1;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10135;S24_3371       ;27;52;6;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10135;S24_3856       ;47;139;2;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10135;S24_4620       ;23;76.8;11;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10135;S32_2206       ;33;38.6;14;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10135;S32_4485       ;30;91.8;17;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10135;S50_4713       ;44;78.9;15;2020/07/02 00:00:00.000;2020/07/03 00:00:00.000;Shipped        ;124;USA                                               
10140;S10_1949       ;37;186.4;11;2020/07/24 00:00:00.000;2020/07/30 00:00:00.000;Shipped        ;161;USA                                               
10140;S10_4962       ;26;131.5;4;2020/07/24 00:00:00.000;2020/07/30 00:00:00.000;Shipped        ;161;USA                                               
10140;S12_1666       ;38;118.9;8;2020/07/24 00:00:00.000;2020/07/30 00:00:00.000;Shipped        ;161;USA                                               
10140;S18_1097       ;32;95.7;10;2020/07/24 00:00:00.000;2020/07/30 00:00:00.000;Shipped        ;161;USA                                               
10140;S18_2432       ;46;51;2;2020/07/24 00:00:00.000;2020/07/30 00:00:00.000;Shipped        ;161;USA                                               
10140;S18_4600       ;40;100.5;5;2020/07/24 00:00:00.000;2020/07/30 00:00:00.000;Shipped        ;161;USA                                               
10140;S18_4668       ;29;40.2;9;2020/07/24 00:00:00.000;2020/07/30 00:00:00.000;Shipped        ;161;USA                                               
10140;S24_2300       ;47;118.8;1;2020/07/24 00:00:00.000;2020/07/30 00:00:00.000;Shipped        ;161;USA                                               
10140;S32_1268       ;26;87.6;3;2020/07/24 00:00:00.000;2020/07/30 00:00:00.000;Shipped        ;161;USA                                               
10140;S32_3522       ;28;62;7;2020/07/24 00:00:00.000;2020/07/30 00:00:00.000;Shipped        ;161;USA                                               
10140;S700_2824      ;36;101.2;6;2020/07/24 00:00:00.000;2020/07/30 00:00:00.000;Shipped        ;161;USA                                               
10142;S12_1108       ;33;166.2;12;2020/08/08 00:00:00.000;2020/08/13 00:00:00.000;Shipped        ;124;USA                                               
10142;S12_3148       ;33;140.5;13;2020/08/08 00:00:00.000;2020/08/13 00:00:00.000;Shipped        ;124;USA                                               
10142;S12_3891       ;46;167.8;11;2020/08/08 00:00:00.000;2020/08/13 00:00:00.000;Shipped        ;124;USA                                               
10142;S18_3140       ;47;129.8;8;2020/08/08 00:00:00.000;2020/08/13 00:00:00.000;Shipped        ;124;USA                                               
10142;S18_3259       ;22;95.8;10;2020/08/08 00:00:00.000;2020/08/13 00:00:00.000;Shipped        ;124;USA                                               
10142;S18_4027       ;24;122.1;15;2020/08/08 00:00:00.000;2020/08/13 00:00:00.000;Shipped        ;124;USA                                               
10142;S18_4522       ;24;79.9;7;2020/08/08 00:00:00.000;2020/08/13 00:00:00.000;Shipped        ;124;USA                                               
10142;S24_2011       ;33;114.3;6;2020/08/08 00:00:00.000;2020/08/13 00:00:00.000;Shipped        ;124;USA                                               
10142;S24_3151       ;49;74.4;1;2020/08/08 00:00:00.000;2020/08/13 00:00:00.000;Shipped        ;124;USA                                               
10142;S32_3207       ;42;60.9;16;2020/08/08 00:00:00.000;2020/08/13 00:00:00.000;Shipped        ;124;USA                                               
10142;S50_1514       ;42;56.2;14;2020/08/08 00:00:00.000;2020/08/13 00:00:00.000;Shipped        ;124;USA                                               
10142;S700_1138      ;41;55.3;2;2020/08/08 00:00:00.000;2020/08/13 00:00:00.000;Shipped        ;124;USA                                               
10142;S700_1938      ;43;77.1;9;2020/08/08 00:00:00.000;2020/08/13 00:00:00.000;Shipped        ;124;USA                                               
10142;S700_3505      ;21;92.2;3;2020/08/08 00:00:00.000;2020/08/13 00:00:00.000;Shipped        ;124;USA                                               
10142;S700_3962      ;38;91.4;4;2020/08/08 00:00:00.000;2020/08/13 00:00:00.000;Shipped        ;124;USA                                               
10142;S72_3212       ;39;47;5;2020/08/08 00:00:00.000;2020/08/13 00:00:00.000;Shipped        ;124;USA                                               
10143;S10_4757       ;49;133.3;15;2020/08/10 00:00:00.000;2020/08/12 00:00:00.000;Shipped        ;320;USA                                               
10143;S18_1662       ;32;126.2;7;2020/08/10 00:00:00.000;2020/08/12 00:00:00.000;Shipped        ;320;USA                                               
10143;S18_3029       ;46;70.5;13;2020/08/10 00:00:00.000;2020/08/12 00:00:00.000;Shipped        ;320;USA                                               
10143;S18_3856       ;34;99.5;12;2020/08/10 00:00:00.000;2020/08/12 00:00:00.000;Shipped        ;320;USA                                               
10143;S24_2841       ;27;63.7;8;2020/08/10 00:00:00.000;2020/08/12 00:00:00.000;Shipped        ;320;USA                                               
10143;S24_3420       ;33;59.8;9;2020/08/10 00:00:00.000;2020/08/12 00:00:00.000;Shipped        ;320;USA                                               
10143;S24_3816       ;23;74.6;14;2020/08/10 00:00:00.000;2020/08/12 00:00:00.000;Shipped        ;320;USA                                               
10143;S24_3949       ;28;56;6;2020/08/10 00:00:00.000;2020/08/12 00:00:00.000;Shipped        ;320;USA                                               
10143;S50_1341       ;34;34.9;1;2020/08/10 00:00:00.000;2020/08/12 00:00:00.000;Shipped        ;320;USA                                               
10143;S700_1691      ;36;86.8;2;2020/08/10 00:00:00.000;2020/08/12 00:00:00.000;Shipped        ;320;USA                                               
10143;S700_2047      ;26;87.8;11;2020/08/10 00:00:00.000;2020/08/12 00:00:00.000;Shipped        ;320;USA                                               
10143;S700_2466      ;26;79.8;4;2020/08/10 00:00:00.000;2020/08/12 00:00:00.000;Shipped        ;320;USA                                               
10143;S700_2610      ;31;69.4;16;2020/08/10 00:00:00.000;2020/08/12 00:00:00.000;Shipped        ;320;USA                                               
10143;S700_3167      ;28;70.4;3;2020/08/10 00:00:00.000;2020/08/12 00:00:00.000;Shipped        ;320;USA                                               
10143;S700_4002      ;34;65.2;5;2020/08/10 00:00:00.000;2020/08/12 00:00:00.000;Shipped        ;320;USA                                               
10143;S72_1253       ;37;49.7;10;2020/08/10 00:00:00.000;2020/08/12 00:00:00.000;Shipped        ;320;USA                                               
10145;S10_1678       ;45;76.6;6;2020/08/25 00:00:00.000;2020/08/31 00:00:00.000;Shipped        ;205;USA                                               
10145;S10_2016       ;37;104.7;9;2020/08/25 00:00:00.000;2020/08/31 00:00:00.000;Shipped        ;205;USA                                               
10145;S10_4698       ;33;154.9;8;2020/08/25 00:00:00.000;2020/08/31 00:00:00.000;Shipped        ;205;USA                                               
10145;S12_2823       ;49;146.1;5;2020/08/25 00:00:00.000;2020/08/31 00:00:00.000;Shipped        ;205;USA                                               
10145;S18_2581       ;30;71.8;14;2020/08/25 00:00:00.000;2020/08/31 00:00:00.000;Shipped        ;205;USA                                               
10145;S18_2625       ;30;52.7;10;2020/08/25 00:00:00.000;2020/08/31 00:00:00.000;Shipped        ;205;USA                                               
10145;S24_1578       ;43;103.7;7;2020/08/25 00:00:00.000;2020/08/31 00:00:00.000;Shipped        ;205;USA                                               
10145;S24_1785       ;40;87.5;16;2020/08/25 00:00:00.000;2020/08/31 00:00:00.000;Shipped        ;205;USA                                               
10145;S24_2020       ;47;64;11;2020/08/25 00:00:00.000;2020/08/31 00:00:00.000;Shipped        ;205;USA                                               
10145;S24_2360       ;27;56.1;3;2020/08/25 00:00:00.000;2020/08/31 00:00:00.000;Shipped        ;205;USA                                               
10145;S24_4278       ;33;71.7;15;2020/08/25 00:00:00.000;2020/08/31 00:00:00.000;Shipped        ;205;USA                                               
10145;S32_1374       ;33;99.9;12;2020/08/25 00:00:00.000;2020/08/31 00:00:00.000;Shipped        ;205;USA                                               
10145;S32_2206       ;31;39.4;1;2020/08/25 00:00:00.000;2020/08/31 00:00:00.000;Shipped        ;205;USA                                               
10145;S32_4485       ;27;95.9;4;2020/08/25 00:00:00.000;2020/08/31 00:00:00.000;Shipped        ;205;USA                                               
10145;S50_4713       ;38;73.2;2;2020/08/25 00:00:00.000;2020/08/31 00:00:00.000;Shipped        ;205;USA                                               
10145;S700_2834      ;20;113.9;13;2020/08/25 00:00:00.000;2020/08/31 00:00:00.000;Shipped        ;205;USA                                               
10146;S18_3782       ;47;60.3;2;2020/09/03 00:00:00.000;2020/09/06 00:00:00.000;Shipped        ;447;USA                                               
10146;S18_4721       ;29;130.9;1;2020/09/03 00:00:00.000;2020/09/06 00:00:00.000;Shipped        ;447;USA                                               
10147;S12_1099       ;48;161.5;7;2020/09/05 00:00:00.000;2020/09/09 00:00:00.000;Shipped        ;379;USA                                               
10147;S12_3380       ;31;110.4;5;2020/09/05 00:00:00.000;2020/09/09 00:00:00.000;Shipped        ;379;USA                                               
10147;S12_3990       ;21;74.2;8;2020/09/05 00:00:00.000;2020/09/09 00:00:00.000;Shipped        ;379;USA                                               
10147;S12_4675       ;33;97.9;4;2020/09/05 00:00:00.000;2020/09/09 00:00:00.000;Shipped        ;379;USA                                               
10147;S18_1889       ;26;70.8;3;2020/09/05 00:00:00.000;2020/09/09 00:00:00.000;Shipped        ;379;USA                                               
10147;S18_3278       ;36;74.8;10;2020/09/05 00:00:00.000;2020/09/09 00:00:00.000;Shipped        ;379;USA                                               
10147;S18_3482       ;37;129.4;9;2020/09/05 00:00:00.000;2020/09/09 00:00:00.000;Shipped        ;379;USA                                               
10147;S24_2972       ;25;33.2;1;2020/09/05 00:00:00.000;2020/09/09 00:00:00.000;Shipped        ;379;USA                                               
10147;S24_3371       ;30;49;6;2020/09/05 00:00:00.000;2020/09/09 00:00:00.000;Shipped        ;379;USA                                               
10147;S24_3856       ;23;123.6;2;2020/09/05 00:00:00.000;2020/09/09 00:00:00.000;Shipped        ;379;USA                                               
10147;S24_4620       ;31;72.8;11;2020/09/05 00:00:00.000;2020/09/09 00:00:00.000;Shipped        ;379;USA                                               
